date,time,steps
2021-03-02,0,0
2021-03-02,1,0
2021-03-02,2,0
2021-03-02,3,0
2021-03-02,4,0
2021-03-02,5,0
2021-03-02,6,0
2021-03-02,7,0
2021-03-02,8,0
2021-03-02,9,0
2021-03-02,10,0
2021-03-02,11,0
2021-03-02,12,0
2021-03-02,13,0
2021-03-02,14,0
2021-03-02,15,0
2021-03-02,16,368
2021-03-02,17,2622
2021-03-02,18,25
2021-03-02,19,0
2021-03-02,20,0
2021-03-02,21,0
2021-03-02,22,0
2021-03-02,23,0
2021-03-03,0,18
2021-03-03,1,21
2021-03-03,2,0
2021-03-03,3,0
2021-03-03,4,0
2021-03-03,5,0
2021-03-03,6,0
2021-03-03,7,0
2021-03-03,8,0
2021-03-03,9,0
2021-03-03,10,0
2021-03-03,11,40
2021-03-03,12,12
2021-03-03,13,51
2021-03-03,14,1319
2021-03-03,15,0
2021-03-03,16,0
2021-03-03,17,0
2021-03-03,18,0
2021-03-03,19,0
2021-03-03,20,23
2021-03-03,21,0
2021-03-03,22,0
2021-03-03,23,0
2021-03-04,0,0
2021-03-04,1,0
2021-03-04,2,0
2021-03-04,3,0
2021-03-04,4,0
2021-03-04,5,0
2021-03-04,6,0
2021-03-04,7,0
2021-03-04,8,0
2021-03-04,9,0
2021-03-04,10,0
2021-03-04,11,0
2021-03-04,12,18
2021-03-04,13,172
2021-03-04,14,0
2021-03-04,15,49
2021-03-04,16,0
2021-03-04,17,19
2021-03-04,18,0
2021-03-04,19,0
2021-03-04,20,28
2021-03-04,21,0
2021-03-04,22,0
2021-03-04,23,0
2021-03-05,0,0
2021-03-05,1,0
2021-03-05,2,0
2021-03-05,3,89
2021-03-05,4,20
2021-03-05,5,0
2021-03-05,6,0
2021-03-05,7,0
2021-03-05,8,0
2021-03-05,9,0
2021-03-05,10,0
2021-03-05,11,0
2021-03-05,12,112
2021-03-05,13,120
2021-03-05,14,82
2021-03-05,15,1266
2021-03-05,16,1292
2021-03-05,17,0
2021-03-05,18,327
2021-03-05,19,1792
2021-03-05,20,0
2021-03-05,21,0
2021-03-05,22,0
2021-03-05,23,0
2021-03-06,0,0
2021-03-06,1,0
2021-03-06,2,0
2021-03-06,3,133
2021-03-06,4,10
2021-03-06,5,0
2021-03-06,6,0
2021-03-06,7,0
2021-03-06,8,0
2021-03-06,9,0
2021-03-06,10,0
2021-03-06,11,194
2021-03-06,12,0
2021-03-06,13,68
2021-03-06,14,11
2021-03-06,15,31
2021-03-06,16,12
2021-03-06,17,0
2021-03-06,18,801
2021-03-06,19,96
2021-03-06,20,0
2021-03-06,21,0
2021-03-06,22,0
2021-03-06,23,0
2021-03-07,0,52
2021-03-07,1,57
2021-03-07,2,77
2021-03-07,3,0
2021-03-07,4,0
2021-03-07,5,0
2021-03-07,6,0
2021-03-07,7,0
2021-03-07,8,0
2021-03-07,9,84
2021-03-07,10,195
2021-03-07,11,888
2021-03-07,12,945
2021-03-07,13,0
2021-03-07,14,1491
2021-03-07,15,2218
2021-03-07,16,2248
2021-03-07,17,251
2021-03-07,18,14
2021-03-07,19,0
2021-03-07,20,0
2021-03-07,21,0
2021-03-07,22,0
2021-03-07,23,0
2021-03-08,0,0
2021-03-08,1,0
2021-03-08,2,0
2021-03-08,3,88
2021-03-08,4,0
2021-03-08,5,0
2021-03-08,6,0
2021-03-08,7,0
2021-03-08,8,0
2021-03-08,9,0
2021-03-08,10,0
2021-03-08,11,0
2021-03-08,12,12
2021-03-08,13,209
2021-03-08,14,0
2021-03-08,15,84
2021-03-08,16,0
2021-03-08,17,0
2021-03-08,18,0
2021-03-08,19,0
2021-03-08,20,0
2021-03-08,21,0
2021-03-08,22,13
2021-03-08,23,0
2021-03-09,0,10
2021-03-09,1,0
2021-03-09,2,0
2021-03-09,3,0
2021-03-09,4,0
2021-03-09,5,0
2021-03-09,6,0
2021-03-09,7,0
2021-03-09,8,0
2021-03-09,9,0
2021-03-09,10,0
2021-03-09,11,0
2021-03-09,12,24
2021-03-09,13,0
2021-03-09,14,125
2021-03-09,15,0
2021-03-09,16,0
2021-03-09,17,11
2021-03-09,18,1874
2021-03-09,19,841
2021-03-09,20,0
2021-03-09,21,13
2021-03-09,22,338
2021-03-09,23,0
2021-03-10,0,864
2021-03-10,1,1355
2021-03-10,2,0
2021-03-10,3,0
2021-03-10,4,0
2021-03-10,5,0
2021-03-10,6,0
2021-03-10,7,0
2021-03-10,8,0
2021-03-10,9,0
2021-03-10,10,0
2021-03-10,11,0
2021-03-10,12,0
2021-03-10,13,13
2021-03-10,14,0
2021-03-10,15,0
2021-03-10,16,0
2021-03-10,17,0
2021-03-10,18,374
2021-03-10,19,11
2021-03-10,20,0
2021-03-10,21,1786
2021-03-10,22,0
2021-03-10,23,0
2021-03-11,0,0
2021-03-11,1,14
2021-03-11,2,0
2021-03-11,3,0
2021-03-11,4,0
2021-03-11,5,0
2021-03-11,6,0
2021-03-11,7,0
2021-03-11,8,0
2021-03-11,9,0
2021-03-11,10,0
2021-03-11,11,255
2021-03-11,12,309
2021-03-11,13,127
2021-03-11,14,0
2021-03-11,15,12
2021-03-11,16,15
2021-03-11,17,2223
2021-03-11,18,0
2021-03-11,19,0
2021-03-11,20,0
2021-03-11,21,0
2021-03-11,22,0
2021-03-11,23,0
2021-03-12,0,0
2021-03-12,1,186
2021-03-12,2,0
2021-03-12,3,128
2021-03-12,4,0
2021-03-12,5,0
2021-03-12,6,0
2021-03-12,7,0
2021-03-12,8,0
2021-03-12,9,0
2021-03-12,10,153
2021-03-12,11,1117
2021-03-12,12,2202
2021-03-12,13,294
2021-03-12,14,471
2021-03-12,15,81
2021-03-12,16,226
2021-03-12,17,141
2021-03-12,18,22
2021-03-12,19,27
2021-03-12,20,349
2021-03-12,21,46
2021-03-12,22,0
2021-03-12,23,0
2021-03-13,0,0
2021-03-13,1,0
2021-03-13,2,0
2021-03-13,3,0
2021-03-13,4,0
2021-03-13,5,0
2021-03-13,6,0
2021-03-13,7,0
2021-03-13,8,0
2021-03-13,9,0
2021-03-13,10,37
2021-03-13,11,333
2021-03-13,12,45
2021-03-13,13,256
2021-03-13,14,0
2021-03-13,15,771
2021-03-13,16,46
2021-03-13,17,45
2021-03-13,18,395
2021-03-13,19,120
2021-03-13,20,140
2021-03-13,21,97
2021-03-13,22,141
2021-03-13,23,0
2021-03-14,0,0
2021-03-14,1,0
2021-03-14,2,0
2021-03-14,3,0
2021-03-14,4,0
2021-03-14,5,0
2021-03-14,6,0
2021-03-14,7,0
2021-03-14,8,0
2021-03-14,9,0
2021-03-14,10,0
2021-03-14,11,0
2021-03-14,12,101
2021-03-14,13,79
2021-03-14,14,62
2021-03-14,15,11
2021-03-14,16,73
2021-03-14,17,69
2021-03-14,18,83
2021-03-14,19,0
2021-03-14,20,12
2021-03-14,21,23
2021-03-14,22,0
2021-03-14,23,0
2021-03-15,0,0
2021-03-15,1,19
2021-03-15,2,0
2021-03-15,3,0
2021-03-15,4,0
2021-03-15,5,0
2021-03-15,6,0
2021-03-15,7,0
2021-03-15,8,0
2021-03-15,9,0
2021-03-15,10,0
2021-03-15,11,14
2021-03-15,12,70
2021-03-15,13,104
2021-03-15,14,324
2021-03-15,15,0
2021-03-15,16,734
2021-03-15,17,868
2021-03-15,18,0
2021-03-15,19,0
2021-03-15,20,13
2021-03-15,21,0
2021-03-15,22,0
2021-03-15,23,0
2021-03-16,0,0
2021-03-16,1,0
2021-03-16,2,0
2021-03-16,3,26
2021-03-16,4,0
2021-03-16,5,0
2021-03-16,6,0
2021-03-16,7,0
2021-03-16,8,0
2021-03-16,9,0
2021-03-16,10,0
2021-03-16,11,0
2021-03-16,12,34
2021-03-16,13,49
2021-03-16,14,0
2021-03-16,15,0
2021-03-16,16,0
2021-03-16,17,0
2021-03-16,18,0
2021-03-16,19,0
2021-03-16,20,0
2021-03-16,21,0
2021-03-16,22,0
2021-03-16,23,0
2021-03-17,0,43
2021-03-17,1,0
2021-03-17,2,0
2021-03-17,3,0
2021-03-17,4,0
2021-03-17,5,18
2021-03-17,6,0
2021-03-17,7,0
2021-03-17,8,0
2021-03-17,9,0
2021-03-17,10,0
2021-03-17,11,0
2021-03-17,12,0
2021-03-17,13,200
2021-03-17,14,0
2021-03-17,15,0
2021-03-17,16,19
2021-03-17,17,0
2021-03-17,18,17
2021-03-17,19,69
2021-03-17,20,0
2021-03-17,21,0
2021-03-17,22,15
2021-03-17,23,0
2021-03-18,0,0
2021-03-18,1,0
2021-03-18,2,41
2021-03-18,3,0
2021-03-18,4,0
2021-03-18,5,0
2021-03-18,6,0
2021-03-18,7,0
2021-03-18,8,0
2021-03-18,9,0
2021-03-18,10,13
2021-03-18,11,23
2021-03-18,12,0
2021-03-18,13,0
2021-03-18,14,0
2021-03-18,15,169
2021-03-18,16,1099
2021-03-18,17,2961
2021-03-18,18,862
2021-03-18,19,0
2021-03-18,20,0
2021-03-18,21,0
2021-03-18,22,4318
2021-03-18,23,0
2021-03-19,0,0
2021-03-19,1,0
2021-03-19,2,0
2021-03-19,3,0
2021-03-19,4,0
2021-03-19,5,0
2021-03-19,6,0
2021-03-19,7,0
2021-03-19,8,0
2021-03-19,9,0
2021-03-19,10,0
2021-03-19,11,396
2021-03-19,12,176
2021-03-19,13,161
2021-03-19,14,0
2021-03-19,15,0
2021-03-19,16,0
2021-03-19,17,131
2021-03-19,18,0
2021-03-19,19,0
2021-03-19,20,0
2021-03-19,21,0
2021-03-19,22,0
2021-03-19,23,0
2021-03-20,0,0
2021-03-20,1,10
2021-03-20,2,0
2021-03-20,3,0
2021-03-20,4,0
2021-03-20,5,0
2021-03-20,6,0
2021-03-20,7,0
2021-03-20,8,0
2021-03-20,9,0
2021-03-20,10,0
2021-03-20,11,0
2021-03-20,12,215
2021-03-20,13,16
2021-03-20,14,0
2021-03-20,15,17
2021-03-20,16,0
2021-03-20,17,115
2021-03-20,18,2092
2021-03-20,19,1425
2021-03-20,20,1575
2021-03-20,21,0
2021-03-20,22,591
2021-03-20,23,0
2021-03-21,0,16
2021-03-21,1,0
2021-03-21,2,0
2021-03-21,3,0
2021-03-21,4,0
2021-03-21,5,0
2021-03-21,6,0
2021-03-21,7,0
2021-03-21,8,0
2021-03-21,9,0
2021-03-21,10,0
2021-03-21,11,1079
2021-03-21,12,1848
2021-03-21,13,0
2021-03-21,14,0
2021-03-21,15,0
2021-03-21,16,258
2021-03-21,17,0
2021-03-21,18,0
2021-03-21,19,0
2021-03-21,20,0
2021-03-21,21,0
2021-03-21,22,0
2021-03-21,23,0
2021-03-22,0,0
2021-03-22,1,0
2021-03-22,2,0
2021-03-22,3,0
2021-03-22,4,0
2021-03-22,5,0
2021-03-22,6,0
2021-03-22,7,0
2021-03-22,8,0
2021-03-22,9,0
2021-03-22,10,0
2021-03-22,11,0
2021-03-22,12,188
2021-03-22,13,19
2021-03-22,14,0
2021-03-22,15,0
2021-03-22,16,0
2021-03-22,17,13
2021-03-22,18,0
2021-03-22,19,11
2021-03-22,20,0
2021-03-22,21,0
2021-03-22,22,0
2021-03-22,23,0
2021-03-23,0,0
2021-03-23,1,0
2021-03-23,2,0
2021-03-23,3,0
2021-03-23,4,0
2021-03-23,5,0
2021-03-23,6,0
2021-03-23,7,0
2021-03-23,8,0
2021-03-23,9,0
2021-03-23,10,0
2021-03-23,11,54
2021-03-23,12,1455
2021-03-23,13,2395
2021-03-23,14,674
2021-03-23,15,0
2021-03-23,16,569
2021-03-23,17,3300
2021-03-23,18,0
2021-03-23,19,0
2021-03-23,20,0
2021-03-23,21,0
2021-03-23,22,0
2021-03-23,23,0
2021-03-24,0,0
2021-03-24,1,0
2021-03-24,2,0
2021-03-24,3,0
2021-03-24,4,0
2021-03-24,5,0
2021-03-24,6,0
2021-03-24,7,0
2021-03-24,8,0
2021-03-24,9,0
2021-03-24,10,0
2021-03-24,11,0
2021-03-24,12,0
2021-03-24,13,0
2021-03-24,14,10
2021-03-24,15,16
2021-03-24,16,1012
2021-03-24,17,1363
2021-03-24,18,706
2021-03-24,19,447
2021-03-24,20,0
2021-03-24,21,0
2021-03-24,22,0
2021-03-24,23,0
2021-03-25,0,0
2021-03-25,1,0
2021-03-25,2,0
2021-03-25,3,0
2021-03-25,4,0
2021-03-25,5,0
2021-03-25,6,0
2021-03-25,7,0
2021-03-25,8,0
2021-03-25,9,0
2021-03-25,10,0
2021-03-25,11,0
2021-03-25,12,486
2021-03-25,13,74
2021-03-25,14,0
2021-03-25,15,0
2021-03-25,16,0
2021-03-25,17,0
2021-03-25,18,0
2021-03-25,19,0
2021-03-25,20,0
2021-03-25,21,0
2021-03-25,22,0
2021-03-25,23,0
2021-03-26,0,0
2021-03-26,1,0
2021-03-26,2,0
2021-03-26,3,212
2021-03-26,4,0
2021-03-26,5,0
2021-03-26,6,0
2021-03-26,7,0
2021-03-26,8,0
2021-03-26,9,0
2021-03-26,10,0
2021-03-26,11,57
2021-03-26,12,78
2021-03-26,13,1325
2021-03-26,14,890
2021-03-26,15,373
2021-03-26,16,2740
2021-03-26,17,2399
2021-03-26,18,334
2021-03-26,19,83
2021-03-26,20,0
2021-03-26,21,23
2021-03-26,22,16
2021-03-26,23,0
2021-03-27,0,36
2021-03-27,1,0
2021-03-27,2,0
2021-03-27,3,0
2021-03-27,4,0
2021-03-27,5,0
2021-03-27,6,0
2021-03-27,7,0
2021-03-27,8,0
2021-03-27,9,0
2021-03-27,10,0
2021-03-27,11,0
2021-03-27,12,67
2021-03-27,13,0
2021-03-27,14,44
2021-03-27,15,25
2021-03-27,16,87
2021-03-27,17,10
2021-03-27,18,34
2021-03-27,19,120
2021-03-27,20,0
2021-03-27,21,0
2021-03-27,22,0
2021-03-27,23,0
2021-03-28,0,18
2021-03-28,1,0
2021-03-28,2,0
2021-03-28,3,0
2021-03-28,4,0
2021-03-28,5,0
2021-03-28,6,0
2021-03-28,7,0
2021-03-28,8,0
2021-03-28,9,0
2021-03-28,10,0
2021-03-28,11,0
2021-03-28,12,54
2021-03-28,13,0
2021-03-28,14,58
2021-03-28,15,12
2021-03-28,16,74
2021-03-28,17,0
2021-03-28,18,12
2021-03-28,19,25
2021-03-28,20,37
2021-03-28,21,10
2021-03-28,22,0
2021-03-28,23,0
2021-03-29,0,22
2021-03-29,1,0
2021-03-29,2,0
2021-03-29,3,14
2021-03-29,4,0
2021-03-29,5,0
2021-03-29,6,0
2021-03-29,7,0
2021-03-29,8,0
2021-03-29,9,0
2021-03-29,10,0
2021-03-29,11,0
2021-03-29,12,54
2021-03-29,13,24
2021-03-29,14,541
2021-03-29,15,0
2021-03-29,16,698
2021-03-29,17,957
2021-03-29,18,0
2021-03-29,19,0
2021-03-29,20,32
2021-03-29,21,0
2021-03-29,22,0
2021-03-29,23,0
2021-03-30,0,0
2021-03-30,1,0
2021-03-30,2,0
2021-03-30,3,0
2021-03-30,4,0
2021-03-30,5,0
2021-03-30,6,0
2021-03-30,7,0
2021-03-30,8,0
2021-03-30,9,0
2021-03-30,10,0
2021-03-30,11,0
2021-03-30,12,289
2021-03-30,13,40
2021-03-30,14,20
2021-03-30,15,0
2021-03-30,16,0
2021-03-30,17,0
2021-03-30,18,0
2021-03-30,19,0
2021-03-30,20,0
2021-03-30,21,0
2021-03-30,22,0
2021-03-30,23,0
2021-03-31,0,24
2021-03-31,1,14
2021-03-31,2,0
2021-03-31,3,0
2021-03-31,4,0
2021-03-31,5,0
2021-03-31,6,0
2021-03-31,7,0
2021-03-31,8,0
2021-03-31,9,0
2021-03-31,10,0
2021-03-31,11,178
2021-03-31,12,0
2021-03-31,13,0
2021-03-31,14,0
2021-03-31,15,1774
2021-03-31,16,2923
2021-03-31,17,12
2021-03-31,18,57
2021-03-31,19,19
2021-03-31,20,50
2021-03-31,21,0
2021-03-31,22,0
2021-03-31,23,0
2021-04-01,0,0
2021-04-01,1,0
2021-04-01,2,0
2021-04-01,3,0
2021-04-01,4,10
2021-04-01,5,0
2021-04-01,6,0
2021-04-01,7,0
2021-04-01,8,0
2021-04-01,9,0
2021-04-01,10,0
2021-04-01,11,0
2021-04-01,12,1679
2021-04-01,13,1306
2021-04-01,14,39
2021-04-01,15,0
2021-04-01,16,0
2021-04-01,17,0
2021-04-01,18,0
2021-04-01,19,0
2021-04-01,20,0
2021-04-01,21,0
2021-04-01,22,0
2021-04-01,23,0
2021-04-02,0,0
2021-04-02,1,0
2021-04-02,2,0
2021-04-02,3,0
2021-04-02,4,0
2021-04-02,5,0
2021-04-02,6,0
2021-04-02,7,0
2021-04-02,8,0
2021-04-02,9,0
2021-04-02,10,0
2021-04-02,11,0
2021-04-02,12,0
2021-04-02,13,0
2021-04-02,14,0
2021-04-02,15,0
2021-04-02,16,0
2021-04-02,17,0
2021-04-02,18,0
2021-04-02,19,0
2021-04-02,20,0
2021-04-02,21,0
2021-04-02,22,0
2021-04-02,23,0
2021-04-05,0,0
2021-04-05,1,0
2021-04-05,2,0
2021-04-05,3,0
2021-04-05,4,0
2021-04-05,5,0
2021-04-05,6,0
2021-04-05,7,0
2021-04-05,8,0
2021-04-05,9,0
2021-04-05,10,0
2021-04-05,11,0
2021-04-05,12,0
2021-04-05,13,261
2021-04-05,14,137
2021-04-05,15,0
2021-04-05,16,0
2021-04-05,17,0
2021-04-05,18,0
2021-04-05,19,17
2021-04-05,20,0
2021-04-05,21,0
2021-04-05,22,0
2021-04-05,23,0
2021-04-06,0,0
2021-04-06,1,0
2021-04-06,2,0
2021-04-06,3,0
2021-04-06,4,0
2021-04-06,5,0
2021-04-06,6,0
2021-04-06,7,0
2021-04-06,8,0
2021-04-06,9,0
2021-04-06,10,0
2021-04-06,11,0
2021-04-06,12,182
2021-04-06,13,340
2021-04-06,14,12
2021-04-06,15,0
2021-04-06,16,11
2021-04-06,17,3922
2021-04-06,18,65
2021-04-06,19,195
2021-04-06,20,1773
2021-04-06,21,0
2021-04-06,22,73
2021-04-06,23,0
2021-04-07,0,44
2021-04-07,1,0
2021-04-07,2,0
2021-04-07,3,0
2021-04-07,4,39
2021-04-07,5,0
2021-04-07,6,0
2021-04-07,7,0
2021-04-07,8,0
2021-04-07,9,0
2021-04-07,10,0
2021-04-07,11,10
2021-04-07,12,1723
2021-04-07,13,0
2021-04-07,14,38
2021-04-07,15,0
2021-04-07,16,19
2021-04-07,17,0
2021-04-07,18,0
2021-04-07,19,19
2021-04-07,20,0
2021-04-07,21,0
2021-04-07,22,0
2021-04-07,23,0
2021-04-08,0,0
2021-04-08,1,0
2021-04-08,2,0
2021-04-08,3,0
2021-04-08,4,56
2021-04-08,5,0
2021-04-08,6,0
2021-04-08,7,0
2021-04-08,8,0
